Datum,Thuis,Gast,Sets_Home,Sets_Away,Small_Pts_Home,Small_Pts_Away
Ma 22-sep-'25,Pegasus 1,PBF Volleybal 2,3,0,76,66
Ma 22-sep-'25,Ledûb volleybal 1,Bravo 3,3,0,75,58
Do 25-sep-'25,ABC Volleybal 3,Best 4,1,2,71,66
Do 25-sep-'25,Primo 2,ODI 3,1,2,58,66
Ma 29-sep-'25,Bravo 3,Pegasus 1,1,2,55,69
Wo 01-okt-'25,PBF Volleybal 2,MVC de Hangar 2,1,2,63,72
Di 07-okt-'25,MVC de Hangar 2,Pegasus 1,3,0,79,66
Wo 08-okt-'25,ODI 3,Best 4,2,1,73,65
Do 09-okt-'25,ABC Volleybal 3,Bravo 3,3,0,76,55
Ma 27-okt-'25,Pegasus 1,ABC Volleybal 3,0,3,69,76
Ma 27-okt-'25,Ledûb volleybal 1,MVC de Hangar 2,1,2,68,67
Ma 27-okt-'25,Bravo 3,ODI 3,0,3,45,75
Ma 03-nov-'25,Ledûb volleybal 1,Pegasus 1,2,1,68,59
Di 04-nov-'25,MVC de Hangar 2,Best 4,2,1,75,73
Wo 05-nov-'25,PBF Volleybal 2,Bravo 3,2,1,72,65
Do 06-nov-'25,Primo 2,ABC Volleybal 3,2,1,68,62
Ma 10-nov-'25,Pegasus 1,Primo 2,1,2,59,68
Ma 10-nov-'25,Bravo 3,MVC de Hangar 2,0,3,55,75
Wo 12-nov-'25,ODI 3,Ledûb volleybal 1,2,1,65,66
Do 13-nov-'25,ABC Volleybal 3,PBF Volleybal 2,2,1,68,51
Wo 19-nov-'25,Best 4,Ledûb volleybal 1,2,1,73,66
Do 20-nov-'25,Primo 2,PBF Volleybal 2,3,0,75,55
Ma 24-nov-'25,Ledûb volleybal 1,ABC Volleybal 3,0,3,54,75
Wo 26-nov-'25,PBF Volleybal 2,ODI 3,0,3,40,75
Wo 26-nov-'25,Best 4,Bravo 3,1,2,65,64
Do 27-nov-'25,Primo 2,MVC de Hangar 2,1,2,64,70
Di 02-dec-'25,MVC de Hangar 2,ABC Volleybal 3,3,0,75,50
Wo 03-dec-'25,ODI 3,Pegasus 1,2,1,73,61
Ma 08-dec-'25,Pegasus 1,Best 4,0,3,47,75
Ma 08-dec-'25,Ledûb volleybal 1,PBF Volleybal 2,3,0,76,68
Ma 08-dec-'25,Bravo 3,Primo 2,1,2,55,75
Di 09-dec-'25,MVC de Hangar 2,ODI 3,0,3,55,75
Wo 17-dec-'25,Best 4,Primo 2,3,0,75,46
Wo 17-dec-'25,ODI 3,ABC Volleybal 3,2,1,64,67
Ma 12-jan-'26,Bravo 3,Ledûb volleybal 1,0,3,44,75
Wo 14-jan-'26,PBF Volleybal 2,Pegasus 1,1,2,75,79
Wo 14-jan-'26,ODI 3,Primo 2,2,1,72,61
Wo 14-jan-'26,Best 4,ABC Volleybal 3,2,1,73,62
Ma 19-jan-'26,Pegasus 1,Bravo 3,2,1,64,56
Di 20-jan-'26,MVC de Hangar 2,PBF Volleybal 2,3,0,75,38
Do 22-jan-'26,ABC Volleybal 3,ODI 3,1,2,67,72
